prompt,categories,topic_domain,intent_type,confidence,token_count,best_model,true_category
Write a regex pattern to validate emails (variation 883),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",9,TNG DeepSeek,coding
Create a responsive CSS layout (variation 764),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,GLM4.5,coding
Debug this JavaScript React component (variation 615),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,TNG DeepSeek,coding
Implement a machine learning model in TensorFlow (variation 359),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,TNG DeepSeek,coding
Create API documentation with Swagger (variation 420),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 690),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Create API documentation with Swagger (variation 703),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Optimize this SQL query for better performance (variation 519),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,GLM4.5,coding
Write a regex pattern to validate emails (variation 455),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",9,GLM4.5,coding
Implement a machine learning model in TensorFlow (variation 510),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,TNG DeepSeek,coding
Set up a Docker container for microservices (variation 591),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",9,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 901),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Write async/await functions in JavaScript (variation 493),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,GLM4.5,coding
Write async/await functions in JavaScript (variation 997),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,GLM4.5,coding
Debug this JavaScript React component (variation 465),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,TNG DeepSeek,coding
Build a GraphQL API with Node.js (variation 703),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7708333333333334}",9,TNG DeepSeek,coding
Debug this JavaScript React component (variation 546),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,TNG DeepSeek,coding
Write async/await functions in JavaScript (variation 744),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,GPT-OSS,coding
Create API documentation with Swagger (variation 925),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Implement authentication with JWT tokens (variation 397),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,TNG DeepSeek,coding
Build a chatbot using NLP libraries (variation 120),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Write a Python function to implement binary search (variation 130),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,TNG DeepSeek,coding
Write a Python function to implement binary search (variation 10),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,GPT-OSS,coding
Create a database schema for e-commerce (variation 789),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,TNG DeepSeek,coding
Create a REST API using Flask/Django (variation 776),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,GPT-OSS,coding
Create a database schema for e-commerce (variation 945),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,TNG DeepSeek,coding
Optimize memory usage in this algorithm (variation 467),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Create a CI/CD pipeline with GitHub Actions (variation 449),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,TNG DeepSeek,coding
Create a database schema for e-commerce (variation 845),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,GLM4.5,coding
Build a GraphQL API with Node.js (variation 385),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7708333333333334}",9,TNG DeepSeek,coding
Optimize this SQL query for better performance (variation 664),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,GLM4.5,coding
Create API documentation with Swagger (variation 277),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Write a regex pattern to validate emails (variation 228),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",9,TNG DeepSeek,coding
Implement caching with Redis (variation 211),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,GLM4.5,coding
Implement data structures like linked lists (variation 491),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,TNG DeepSeek,coding
Implement a machine learning model in TensorFlow (variation 350),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,GLM4.5,coding
Create a database schema for e-commerce (variation 320),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,GLM4.5,coding
Implement caching with Redis (variation 992),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,TNG DeepSeek,coding
Build a chatbot using NLP libraries (variation 223),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,GLM4.5,coding
Create a database schema for e-commerce (variation 921),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,Qwen3,coding
Implement caching with Redis (variation 946),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,TNG DeepSeek,coding
Debug this JavaScript React component (variation 382),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,TNG DeepSeek,coding
Write unit tests for this Python class (variation 169),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,GPT-OSS,coding
Write async/await functions in JavaScript (variation 778),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,GPT-OSS,coding
Create a CI/CD pipeline with GitHub Actions (variation 859),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,GPT-OSS,coding
Optimize memory usage in this algorithm (variation 693),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,GPT-OSS,coding
Create a responsive CSS layout (variation 288),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,GLM4.5,coding
Create a REST API using Flask/Django (variation 523),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Build a chatbot using NLP libraries (variation 936),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Write unit tests for this Python class (variation 665),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Write a regex pattern to validate emails (variation 124),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",9,TNG DeepSeek,coding
Write async/await functions in JavaScript (variation 790),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,TNG DeepSeek,coding
Create API documentation with Swagger (variation 725),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,GPT-OSS,coding
Implement data structures like linked lists (variation 686),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,TNG DeepSeek,coding
Optimize this SQL query for better performance (variation 122),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 497),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Implement caching with Redis (variation 530),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,GLM4.5,coding
Create a database schema for e-commerce (variation 302),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 663),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,GPT-OSS,coding
Build a GraphQL API with Node.js (variation 256),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7708333333333334}",9,TNG DeepSeek,coding
Build a GraphQL API with Node.js (variation 345),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7708333333333334}",9,GLM4.5,coding
Optimize memory usage in this algorithm (variation 466),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Implement caching with Redis (variation 436),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,GLM4.5,coding
Implement caching with Redis (variation 407),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,GLM4.5,coding
Optimize memory usage in this algorithm (variation 278),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Write a Python function to implement binary search (variation 696),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,TNG DeepSeek,coding
Implement data structures like linked lists (variation 23),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,GLM4.5,coding
Build a web scraper using BeautifulSoup (variation 108),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Implement a machine learning model in TensorFlow (variation 111),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,TNG DeepSeek,coding
Create a responsive CSS layout (variation 584),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,TNG DeepSeek,coding
Implement a machine learning model in TensorFlow (variation 515),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,GPT-OSS,coding
Create a database schema for e-commerce (variation 483),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,GLM4.5,coding
Implement authentication with JWT tokens (variation 866),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,TNG DeepSeek,coding
Implement authentication with JWT tokens (variation 405),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,GLM4.5,coding
Build a web scraper using BeautifulSoup (variation 731),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Write unit tests for this Python class (variation 112),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,GLM4.5,coding
Create API documentation with Swagger (variation 932),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Create a CI/CD pipeline with GitHub Actions (variation 209),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,TNG DeepSeek,coding
Create a REST API using Flask/Django (variation 437),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Build a GraphQL API with Node.js (variation 912),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7708333333333334}",9,TNG DeepSeek,coding
Set up a Docker container for microservices (variation 824),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",9,TNG DeepSeek,coding
Debug this JavaScript React component (variation 623),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,TNG DeepSeek,coding
Create API documentation with Swagger (variation 906),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,GPT-OSS,coding
Optimize this SQL query for better performance (variation 154),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,GLM4.5,coding
Create a database schema for e-commerce (variation 871),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,GLM4.5,coding
Set up a Docker container for microservices (variation 942),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",9,TNG DeepSeek,coding
Optimize memory usage in this algorithm (variation 20),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 516),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Optimize this SQL query for better performance (variation 728),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,GLM4.5,coding
Create API documentation with Swagger (variation 900),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Create a REST API using Flask/Django (variation 670),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,GPT-OSS,coding
Implement data structures like linked lists (variation 817),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,GLM4.5,coding
Implement data structures like linked lists (variation 406),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,GLM4.5,coding
Create a CI/CD pipeline with GitHub Actions (variation 542),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,GPT-OSS,coding
Debug this JavaScript React component (variation 704),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,TNG DeepSeek,coding
Optimize memory usage in this algorithm (variation 740),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Build a chatbot using NLP libraries (variation 183),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Create API documentation with Swagger (variation 113),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Implement caching with Redis (variation 971),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,GLM4.5,coding
Optimize memory usage in this algorithm (variation 161),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Debug this JavaScript React component (variation 660),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,GPT-OSS,coding
Implement caching with Redis (variation 710),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,GPT-OSS,coding
Build a GraphQL API with Node.js (variation 871),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7708333333333334}",9,TNG DeepSeek,coding
Create a responsive CSS layout (variation 837),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,TNG DeepSeek,coding
Implement authentication with JWT tokens (variation 50),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,TNG DeepSeek,coding
Build a GraphQL API with Node.js (variation 625),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7708333333333334}",9,TNG DeepSeek,coding
Optimize memory usage in this algorithm (variation 710),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Optimize memory usage in this algorithm (variation 563),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,GPT-OSS,coding
Implement authentication with JWT tokens (variation 547),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,TNG DeepSeek,coding
Implement data structures like linked lists (variation 581),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,GLM4.5,coding
Implement a machine learning model in TensorFlow (variation 980),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,GLM4.5,coding
Implement authentication with JWT tokens (variation 704),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,TNG DeepSeek,coding
Set up a Docker container for microservices (variation 602),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",9,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 295),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Write a Python function to implement binary search (variation 792),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,GLM4.5,coding
Set up a Docker container for microservices (variation 809),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",9,TNG DeepSeek,coding
Create a CI/CD pipeline with GitHub Actions (variation 188),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,TNG DeepSeek,coding
Create API documentation with Swagger (variation 664),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Create a CI/CD pipeline with GitHub Actions (variation 618),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 163),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Write a regex pattern to validate emails (variation 632),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",9,GPT-OSS,coding
Create a responsive CSS layout (variation 182),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,TNG DeepSeek,coding
Optimize memory usage in this algorithm (variation 582),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Optimize memory usage in this algorithm (variation 228),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Create API documentation with Swagger (variation 850),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,GLM4.5,coding
Debug this JavaScript React component (variation 690),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 70),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,GPT-OSS,coding
Write async/await functions in JavaScript (variation 672),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,GPT-OSS,coding
Create API documentation with Swagger (variation 472),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 917),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Create a CI/CD pipeline with GitHub Actions (variation 888),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,TNG DeepSeek,coding
Implement a machine learning model in TensorFlow (variation 314),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,GPT-OSS,coding
Implement a machine learning model in TensorFlow (variation 131),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,GLM4.5,coding
Implement a machine learning model in TensorFlow (variation 984),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,TNG DeepSeek,coding
Implement data structures like linked lists (variation 857),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,GPT-OSS,coding
Create a CI/CD pipeline with GitHub Actions (variation 445),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,TNG DeepSeek,coding
Write async/await functions in JavaScript (variation 629),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,TNG DeepSeek,coding
Implement authentication with JWT tokens (variation 327),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,GLM4.5,coding
Write a Python function to implement binary search (variation 593),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,GPT-OSS,coding
Create a REST API using Flask/Django (variation 28),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,GPT-OSS,coding
Write unit tests for this Python class (variation 423),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,GLM4.5,coding
Build a chatbot using NLP libraries (variation 610),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Set up a Docker container for microservices (variation 610),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",9,TNG DeepSeek,coding
Implement a machine learning model in TensorFlow (variation 514),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,TNG DeepSeek,coding
Create a REST API using Flask/Django (variation 842),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Create a responsive CSS layout (variation 435),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,GLM4.5,coding
Create a CI/CD pipeline with GitHub Actions (variation 344),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,GLM4.5,coding
Set up a Docker container for microservices (variation 956),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",9,TNG DeepSeek,coding
Optimize this SQL query for better performance (variation 704),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,TNG DeepSeek,coding
Build a chatbot using NLP libraries (variation 960),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Create API documentation with Swagger (variation 154),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Write a regex pattern to validate emails (variation 884),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",9,TNG DeepSeek,coding
Create a database schema for e-commerce (variation 213),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,TNG DeepSeek,coding
Create API documentation with Swagger (variation 604),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Write unit tests for this Python class (variation 680),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,GPT-OSS,coding
Build a chatbot using NLP libraries (variation 447),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
